# ants,# Iterations,alpha,beta,Evaporation Rate,Q,Path,Path Length
100,10000,1,2.0,0.5,1,"[6, 30, 37, 41, 15, 11, 56, 23, 57, 43, 0, 39, 12, 24, 8, 19, 31, 29, 17, 21, 47, 28, 26, 50, 51, 48, 42, 9, 34, 1, 40, 54, 53, 7, 2, 38, 35, 16, 25, 5, 18, 32, 27, 13, 45, 33, 14, 36, 44, 55, 46, 10, 22, 4, 20, 3, 49, 52, 6]",36693.0
100,10000,1,2.0,0.5,1,"[1, 40, 47, 16, 25, 18, 22, 4, 50, 46, 2, 34, 9, 51, 48, 35, 28, 38, 54, 53, 7, 0, 8, 24, 31, 39, 12, 29, 11, 26, 42, 56, 23, 43, 17, 57, 52, 49, 3, 19, 15, 10, 20, 55, 45, 33, 14, 44, 36, 27, 5, 13, 32, 21, 30, 6, 41, 37, 1]",37228.0
100,10000,1,2.0,0.5,1,"[33, 45, 14, 36, 44, 32, 13, 55, 47, 1, 40, 46, 48, 2, 53, 4, 51, 34, 9, 50, 5, 18, 35, 25, 16, 27, 42, 26, 11, 56, 23, 21, 7, 43, 17, 57, 0, 29, 24, 39, 12, 31, 8, 19, 52, 49, 3, 28, 38, 54, 22, 20, 15, 10, 37, 30, 41, 6, 33]",36706.0
100,10000,1,2.0,0.5,1,"[46, 26, 56, 11, 22, 42, 40, 38, 34, 51, 50, 9, 53, 54, 47, 2, 28, 35, 16, 25, 18, 5, 27, 13, 36, 45, 33, 14, 55, 44, 20, 10, 1, 4, 7, 21, 17, 43, 0, 29, 39, 12, 8, 31, 24, 23, 57, 49, 52, 19, 3, 6, 30, 41, 37, 15, 48, 32, 46]",36102.0
100,10000,1,2.0,0.5,1,"[45, 13, 36, 44, 32, 46, 48, 50, 1, 34, 14, 33, 55, 27, 18, 5, 25, 16, 35, 51, 9, 54, 53, 4, 26, 22, 17, 43, 12, 8, 24, 39, 0, 29, 19, 31, 7, 38, 20, 28, 2, 47, 40, 56, 11, 42, 21, 10, 15, 37, 41, 30, 6, 3, 52, 49, 23, 57, 45]",38887.0
100,10000,1,2.0,0.8,1,"[21, 7, 47, 53, 54, 51, 9, 2, 35, 25, 50, 46, 42, 48, 34, 40, 1, 38, 10, 56, 11, 26, 4, 22, 28, 5, 18, 13, 32, 36, 55, 27, 16, 20, 44, 45, 33, 14, 29, 39, 24, 12, 0, 23, 57, 43, 17, 8, 31, 52, 19, 49, 3, 15, 37, 30, 6, 41, 21]",36984.0
100,10000,1,2.0,0.8,1,"[12, 8, 24, 39, 5, 25, 34, 9, 51, 38, 40, 53, 15, 10, 2, 14, 33, 13, 36, 21, 7, 47, 54, 1, 4, 26, 11, 56, 22, 32, 55, 45, 44, 27, 18, 16, 35, 28, 20, 50, 46, 48, 42, 0, 31, 19, 52, 3, 49, 23, 57, 43, 17, 29, 41, 37, 30, 6, 12]",39126.0
100,10000,1,2.0,0.8,1,"[13, 32, 44, 36, 14, 27, 5, 25, 16, 35, 18, 45, 33, 51, 34, 9, 48, 46, 50, 40, 22, 54, 53, 1, 47, 2, 28, 38, 7, 21, 11, 24, 8, 31, 29, 39, 12, 0, 23, 17, 43, 57, 42, 26, 4, 56, 19, 49, 52, 3, 15, 10, 20, 55, 37, 41, 30, 6, 13]",37770.0
100,10000,1,2.0,0.8,1,"[33, 14, 40, 34, 46, 48, 4, 22, 11, 26, 42, 56, 54, 53, 47, 51, 9, 35, 16, 25, 18, 5, 13, 32, 27, 20, 45, 55, 44, 36, 28, 2, 38, 10, 15, 31, 39, 12, 8, 24, 29, 43, 17, 0, 52, 49, 3, 23, 57, 50, 1, 21, 7, 6, 30, 37, 41, 19, 33]",40349.0
100,10000,1,2.0,0.8,1,"[31, 8, 24, 39, 12, 19, 29, 0, 17, 43, 57, 48, 46, 28, 40, 38, 20, 54, 53, 1, 51, 35, 16, 25, 5, 33, 55, 44, 32, 45, 36, 13, 27, 18, 50, 34, 9, 47, 2, 14, 10, 22, 11, 23, 4, 7, 21, 15, 41, 30, 6, 37, 3, 49, 52, 26, 42, 56, 31]",40740.0
