# ants,# Iterations,alpha,beta,Evaporation Rate,Q,Path,Path Length
100,10000,1.0,2,0.5,1,"[3, 13, 2, 12, 6, 5, 11, 4, 7, 0, 1, 8, 10, 9, 3]",3502.0
100,10000,1.0,2,0.5,1,"[1, 8, 10, 7, 0, 9, 12, 6, 13, 2, 3, 5, 11, 4, 1]",3120.0
100,10000,1.0,2,0.5,1,"[1, 0, 7, 10, 8, 9, 3, 4, 5, 11, 6, 12, 13, 2, 1]",3400.0
100,10000,1.0,2,0.5,1,"[0, 7, 1, 9, 8, 10, 12, 5, 11, 13, 6, 2, 3, 4, 0]",3353.0
100,10000,1.0,2,0.5,1,"[7, 9, 8, 10, 0, 1, 12, 6, 13, 11, 5, 4, 3, 2, 7]",3228.0
100,10000,1.0,2,0.8,1,"[9, 10, 8, 0, 7, 1, 13, 2, 5, 11, 6, 12, 3, 4, 9]",3061.0
100,10000,1.0,2,0.8,1,"[4, 5, 11, 6, 12, 7, 0, 10, 8, 9, 1, 2, 13, 3, 4]",2947.0
100,10000,1.0,2,0.8,1,"[9, 1, 7, 0, 8, 10, 11, 5, 6, 12, 13, 2, 3, 4, 9]",3080.0
100,10000,1.0,2,0.8,1,"[9, 10, 8, 0, 1, 7, 12, 6, 5, 11, 3, 2, 13, 4, 9]",2850.0
100,10000,1.0,2,0.8,1,"[4, 5, 11, 6, 12, 9, 8, 10, 7, 0, 1, 13, 3, 2, 4]",2989.0
100,10000,1.0,4,0.8,1,"[9, 8, 10, 7, 0, 1, 13, 5, 11, 6, 12, 2, 3, 4, 9]",2831.0
100,10000,1.0,4,0.8,1,"[4, 3, 2, 13, 5, 11, 6, 12, 10, 8, 0, 7, 1, 9, 4]",2800.0
100,10000,1.0,4,0.8,1,"[9, 8, 10, 7, 0, 1, 12, 6, 5, 11, 13, 2, 3, 4, 9]",2615.0
100,10000,1.0,4,0.8,1,"[9, 10, 8, 7, 0, 1, 12, 6, 5, 11, 2, 13, 3, 4, 9]",2852.0
100,10000,1.0,4,0.8,1,"[4, 5, 11, 12, 6, 13, 3, 2, 1, 0, 7, 10, 8, 9, 4]",2746.0
100,50000,1.0,2,0.5,1,"[1, 9, 8, 10, 7, 0, 12, 6, 11, 5, 13, 2, 3, 4, 1]",2879.0
100,50000,1.0,2,0.5,1,"[0, 7, 10, 8, 12, 6, 11, 5, 4, 3, 13, 2, 1, 9, 0]",3223.0
100,50000,1.0,2,0.5,1,"[4, 11, 5, 6, 12, 13, 3, 2, 1, 0, 10, 8, 7, 9, 4]",2910.0
100,50000,1.0,2,0.5,1,"[2, 13, 7, 10, 8, 9, 1, 0, 12, 6, 5, 11, 3, 4, 2]",3053.0
100,50000,1.0,2,0.5,1,"[7, 10, 8, 9, 0, 1, 2, 5, 11, 6, 12, 13, 3, 4, 7]",3143.0
100,50000,1.0,2,0.2,1,"[9, 1, 0, 7, 8, 10, 13, 6, 12, 5, 11, 3, 2, 4, 9]",3314.0
100,50000,1.0,2,0.2,1,"[4, 11, 5, 6, 12, 13, 3, 2, 7, 0, 10, 8, 1, 9, 4]",3126.0
100,50000,1.0,2,0.2,1,"[9, 7, 10, 8, 0, 1, 2, 13, 11, 5, 12, 6, 3, 4, 9]",3077.0
100,50000,1.0,2,0.2,1,"[1, 0, 10, 8, 9, 7, 12, 6, 13, 5, 11, 3, 2, 4, 1]",3214.0
100,50000,1.0,2,0.2,1,"[4, 6, 13, 2, 3, 5, 11, 12, 1, 10, 8, 0, 7, 9, 4]",3211.0
100,10000,1.0,2,0.2,1,"[4, 5, 11, 7, 0, 10, 8, 9, 1, 12, 6, 13, 2, 3, 4]",3225.0
100,10000,1.0,2,0.2,1,"[9, 8, 10, 0, 7, 1, 2, 6, 5, 11, 12, 13, 3, 4, 9]",3112.0
100,10000,1.0,2,0.2,1,"[9, 0, 7, 10, 8, 1, 12, 6, 13, 2, 3, 11, 5, 4, 9]",2880.0
100,10000,1.0,2,0.2,1,"[11, 5, 6, 12, 13, 0, 7, 10, 8, 9, 1, 2, 3, 4, 11]",3159.0
100,10000,1.0,2,0.2,1,"[9, 8, 10, 7, 0, 1, 13, 11, 5, 6, 12, 2, 3, 4, 9]",2818.0
100,10000,1.5,2,0.2,1,"[4, 5, 11, 6, 12, 13, 3, 2, 1, 0, 7, 10, 8, 9, 4]",2649.0
100,10000,1.5,2,0.2,1,"[1, 0, 7, 8, 10, 9, 12, 13, 6, 11, 5, 2, 3, 4, 1]",3202.0
100,10000,1.5,2,0.2,1,"[9, 8, 10, 0, 1, 7, 12, 6, 5, 11, 3, 2, 13, 4, 9]",2805.0
100,10000,1.5,2,0.2,1,"[8, 9, 10, 0, 7, 1, 12, 6, 5, 2, 13, 11, 3, 4, 8]",3299.0
100,10000,1.5,2,0.2,1,"[9, 10, 8, 0, 7, 1, 13, 6, 12, 11, 5, 3, 2, 4, 9]",3112.0
